,comment,machine_id,start_time,end_time,duration,name,downtime_code_id,Name_2,year,Station
1126725,No Comment and No Reason Code,285.0,2021-01-05 15:56:46.013,2021-01-05 16:08:21.043,695.302,WLM01 ST130,,,2021,
1126726,No Comment and No Reason Code,286.0,2021-01-05 15:56:46.013,2021-01-05 16:08:21.043,695.302,WLM02 ST130,,,2021,
1126787,No Comment and No Reason Code,285.0,2021-01-05 16:12:39.017,2021-01-05 16:22:22.027,583.083,WLM01 ST130,,,2021,
1126788,No Comment and No Reason Code,286.0,2021-01-05 16:12:39.017,2021-01-05 16:22:22.027,583.083,WLM02 ST130,,,2021,
1126838,No Comment and No Reason Code,285.0,2021-01-05 16:26:45.087,2021-01-05 16:28:42.087,117.0,WLM01 ST130,,,2021,
1126839,No Comment and No Reason Code,286.0,2021-01-05 16:26:45.087,2021-01-05 16:28:42.087,117.0,WLM02 ST130,,,2021,
1126883,No Comment and No Reason Code,285.0,2021-01-05 16:35:16.033,2021-01-05 16:57:36.033,1340.004,WLM01 ST130,,,2021,
1126884,No Comment and No Reason Code,286.0,2021-01-05 16:35:16.033,2021-01-05 16:57:36.033,1340.004,WLM02 ST130,,,2021,
1127227,lunch: overage,285.0,2021-01-05 17:35:00.000,2021-01-05 17:40:28.070,328.709,WLM01 ST130,218.0,lunch: overage,2021,
1127228,lunch: overage,286.0,2021-01-05 17:35:00.000,2021-01-05 17:40:28.070,328.709,WLM02 ST130,218.0,lunch: overage,2021,
1127236,No Comment and No Reason Code,285.0,2021-01-05 17:40:28.070,2021-01-05 18:08:35.020,1686.485,WLM01 ST130,,,2021,
1127237,No Comment and No Reason Code,286.0,2021-01-05 17:40:28.070,2021-01-05 18:21:18.087,2450.167,WLM02 ST130,,,2021,
1127588,No Comment and No Reason Code,286.0,2021-01-05 18:38:05.027,2021-01-05 19:22:26.010,2660.839,WLM02 ST130,,,2021,
1127771,No Comment and No Reason Code,286.0,2021-01-05 19:36:14.060,2021-01-05 19:45:00.000,525.394,WLM02 ST130,,,2021,
1127893,No Comment and No Reason Code,286.0,2021-01-05 19:46:32.060,2021-01-05 19:49:00.000,147.405,WLM02 ST130,,,2021,
1128023,No Comment and No Reason Code,286.0,2021-01-05 19:49:00.000,2021-01-05 19:50:00.000,60.0,WLM02 ST130,,,2021,
1128254, shift start: overage ,285.0,2021-01-05 20:00:00.000,2021-01-05 20:45:00.000,2700.0,WLM01 ST130,216.0, shift start: overage ,2021,
1128255, shift start: overage ,286.0,2021-01-05 20:00:00.000,2021-01-05 20:45:00.000,2700.0,WLM02 ST130,216.0, shift start: overage ,2021,
1129690,No Comment and No Reason Code,286.0,2021-01-06 12:02:42.013,2021-01-06 12:15:17.067,755.542,WLM02 ST130,,,2021,
1129777,test,286.0,2021-01-06 12:15:17.067,2021-01-06 12:23:12.020,474.509,WLM02 ST130,1.0,down (unclassified),2021,
1129795,No Comment and No Reason Code,286.0,2021-01-06 12:23:12.020,2021-01-06 12:25:09.020,117.0,WLM02 ST130,,,2021,
1129809,No Comment and No Reason Code,286.0,2021-01-06 12:28:28.020,2021-01-06 13:38:41.030,4213.081,WLM02 ST130,,,2021,
1130070,welds modified at op10/50/60/70,286.0,2021-01-06 13:38:41.030,2021-01-06 14:04:25.003,1543.761,WLM02 ST130,1.0,down (unclassified),2021,10.0
1130137,No Comment and No Reason Code,286.0,2021-01-06 14:04:25.003,2021-01-06 14:20:00.000,934.952,WLM02 ST130,,,2021,
1130226,break,286.0,2021-01-06 14:20:00.000,2021-01-06 14:20:43.027,43.253,WLM02 ST130,74.0,break,2021,
1130238,No Comment and No Reason Code,286.0,2021-01-06 14:20:43.027,2021-01-06 14:22:40.027,117.0,WLM02 ST130,,,2021,
1130270,break,286.0,2021-01-06 14:22:40.027,2021-01-06 14:35:00.000,739.747,WLM02 ST130,74.0,break,2021,
1130347,break: overage,286.0,2021-01-06 14:35:00.000,2021-01-06 14:38:17.017,197.157,WLM02 ST130,219.0,break: overage,2021,
1130355,No Comment and No Reason Code,286.0,2021-01-06 14:38:17.017,2021-01-06 15:14:16.023,2159.078,WLM02 ST130,,,2021,
